vehicle_name,year,miles,price,transmission,fuel_type,drivetrain,exterior_color,vin,mpg,engine
Volvo XC90 V8,2007,"161,736 ","6,995",6-Speed Automatic,Gasoline , All-wheel Drive , Silver , YV4CZ852371368296 ,,4.4L V8 32V MPFI DOHC
INFINITI G35 Journey,2007,"95,818 ","11,991",5-Speed Automatic,Gasoline , Rear-wheel Drive , Lakeshore Slate , JNKBV61E47M714450 ,,3.5L V6 24V MPFI DOHC
Lexus GS 350,2007,"72,585 ","7,998",6-Speed Automatic,Gasoline , Rear-wheel Drive , Silver , JTHBE96S070027313 ,,3.5L V6 24V GDI DOHC
Chevrolet Tahoe LTZ,2007,"106,818 ","14,990",4-Speed Automatic,E85 Flex Fuel , Rear-wheel Drive , Silver Birch Metallic , 1GNFC130X7J311191 ,,5.3L V8 16V MPFI OHV Flexible Fuel
Mazda Mazda3 s Touring,2007,"104,975 ","9,565",5-Speed Automatic,Gasoline , Front-wheel Drive , Black Mica , JM1BK324771709808 ,,2.3L I4 16V MPFI DOHC
Toyota Avalon XLS,2007,"161,571 ","7,940",5-Speed Automatic,Gasoline , FWD , White , 4T1BK36BX7U179773 ,,3.5L V6 24V MPFI DOHC
Toyota Avalon XLS,2007,"197,825 ","6,599",5-Speed Automatic,Gasoline , Front-wheel Drive , Silver , 4T1BK36B07U193360 ,,3.5L V6 24V MPFI DOHC
Toyota Highlander Hybrid w/3rd Row,2007,"141,843 ","11,868",Automatic CVT,Hybrid , All-wheel Drive , Millennium Silver Metallic , JTEEW21A970048674 ,,3.3L V6 24V MPFI DOHC Hybrid
Lexus RX 350,2007,"65,734 ","15,510",5-Speed Automatic,Gasoline , All-wheel Drive , Neptune Blue Mica , JTJHK31U672017123 ,,3.5L V6 24V MPFI DOHC
Lexus ES 350,2007,"161,146 ","9,998",6-Speed Automatic,Gasoline , Front-wheel Drive , Silver , JTHBJ46G872027753 ,,3.5L V6 24V MPFI DOHC
Nissan Maxima SE,2007,"125,724 ","6,299",Automatic CVT,Gasoline , FWD , Radiant Silver Metallic , 1N4BA41E27C835037 ,,3.5L V6 24V MPFI DOHC
Audi S4 4.2 quattro,2007,"107,237 ","14,998",6-Speed Automatic,Gasoline , All-wheel Drive , Brilliant Red , WAUGL78E97A130455 ,,4.2L V8 40V MPFI DOHC
