Toyota Camry SE,2019,"22,900 ","28,600",8-Speed Automatic,Gasoline , Front-wheel Drive , Super White , 4T1B11HK7KU762458 ,,2.5L I4 16V PDI DOHC
Mazda Mazda3 Touring,2017,"68,298 ","17,600",6-Speed Automatic,Gasoline , Front-wheel Drive , Titanium Flash Mica , 3MZBN1V70HM112535 ,,2.0L I4 16V GDI DOHC
BMW 540 i,2019,"18,789 ","50,295",8-Speed Automatic,Gasoline , Rear-wheel Drive , Dark Graphite Metallic , WBAJE5C55KWW30328 ,,3.0L I6 24V GDI DOHC Turbo
Mercedes-Benz E-Class E 300,2018,"50,806 ","35,688",9-Speed Automatic,Gasoline , Rear-wheel Drive , Selenite Gray Metallic , WDDZF4JB0JA478773 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2018,"24,481 ","52,590",1-Speed Automatic,Electric , All-wheel Drive , Black , 5YJ3E1EB3JF134907 ,,Electric
Dodge Charger R/T,2020,"16,345 ","38,788",8-Speed Automatic,Gasoline , Rear-wheel Drive , White Knuckle Clearcoat , 2C3CDXCT3LH202884 ,,5.7L V8 16V MPFI OHV
BMW 330e iPerformance,2018,"23,198 ","33,997",8-Speed Automatic,Hybrid , Rear-wheel Drive , Alpine White , WBA8E1C53JA756738 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Tesla Model 3 Standard Range Plus,2019,"37,598 ","45,798",1-Speed Automatic,Electric , Rear-wheel Drive , Deep Blue Metallic , 5YJ3E1EA9KF423122 ,,Electric
Tesla Model 3 Long Range,2021,"1,813 ","58,488",1-Speed Automatic,Electric , All-wheel Drive , Red Multi , 5YJ3E1EB1MF060150 ,,Electric
Tesla Model 3 Standard Range Plus,2019,"32,369 ","46,990",1-Speed Automatic,Electric , Rear-wheel Drive , Pearl White Multi , 5YJ3E1EA7KF509349 ,,Electric
Mercedes-Benz E-Class E 300,2018,"45,963 ","35,980",9-Speed Automatic,Gasoline , Rear-wheel Drive , Iridium Silver Metallic , WDDZF4JB1JA358660 ,,2.0L I4 16V GDI DOHC Turbo
Honda Civic LX,2020,"7,752 ","25,991",Automatic CVT,Gasoline , Front-wheel Drive , Modern Steel Metallic , 19XFC2F66LE209019 ,,2.0L I4 16V MPFI DOHC
Honda Civic,2020,"17,977 ","24,987",Continuously Variable Transmission,– , – , Platinum White Pearl , 19XFC2F62LE208241 , –,–
Honda Accord Sport,2019,"47,726 ","29,888",Automatic CVT,Gasoline , Front-wheel Drive , White , 1HGCV1F38KA060841 ,,1.5L I4 16V GDI DOHC Turbo
BMW 330 i,2018,"18,179 ","29,980",8-Speed Automatic,Gasoline , Rear-wheel Drive , Glacier Silver Metallic , WBA8B9C54JAE21949 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2018,"45,340 ","45,990",1-Speed Automatic,Electric , Rear-wheel Drive , Gray , 5YJ3E1EA2JF008528 ,,Electric
BMW 330e iPerformance,2018,"29,980 ","33,998",8-Speed Automatic,Hybrid , Rear-wheel Drive , Alpine White , WBA8E1C5XJA762522 , –,2.0L I4 16V GDI DOHC Turbo Hybrid
Volvo S60 T5 Momentum,2021,"16,317 ","36,482",8-Speed Automatic,Gasoline , All-wheel Drive , Black Stone , 7JR102TZXMG107842 ,,2.0L I4 16V GDI DOHC Turbo
Tesla Model 3 Long Range,2019,"41,127 ","48,999",1-Speed Automatic,Electric , All-wheel Drive , White , 5YJ3E1EB8KF408605 ,,Electric
Mercedes-Benz CLA 250 Base,2019,"50,271 ","27,988",7-Speed Automatic with Auto-Shift,Gasoline , Front-wheel Drive , Black , WDDSJ4EBXKN774663 ,,2.0L I4 16V GDI DOHC Turbo
